Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:People Occupant Count [](TimeStep),CORE_ZN:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),PERIMETER_ZN_1:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_2:People Occupant Count [](TimeStep),PERIMETER_ZN_2:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_3:People Occupant Count [](TimeStep),PERIMETER_ZN_3:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_4:People Occupant Count [](TimeStep),PERIMETER_ZN_4:Zone People Occupant Count [](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),PSZ-AC:1 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:2 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:3 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:4 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:5 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:1:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Cooling Coil Total Cooling Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep) 
 07/01  02:45:00,16.849999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000116678228,22.694939449382649,22.928763948736138,22.688984396061764,23.000001048781117,15.373686886539544,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,272380.2902065374,0.0,0.0,0.0,137792.95129132115,272380.2902065374,272380.2902065374,0.0,0.0,0.0,0.0,0.0,0.0,137792.95129132115,137792.95129132115,17.0,0.0,93619.55975514405,0.0 
 07/01  03:00:00,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000120573821,22.697889872741205,22.92457066427965,22.690794846368616,23.000001070059797,15.437638654035198,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,276843.671891868,0.0,0.0,0.0,137244.15156125776,276843.671891868,276843.671891868,0.0,0.0,0.0,0.0,0.0,0.0,137244.15156125776,137244.15156125776,17.0,0.0,94485.80636708351,0.0 
 07/01  03:15:00,16.924999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000121843192,22.70004463888813,22.920305219091035,22.692466229874865,23.000001079549155,15.49061548062705,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,277872.6297617542,0.0,0.0,0.0,135530.7494117719,277872.6297617542,277872.6297617542,0.0,0.0,0.0,0.0,0.0,0.0,135530.7494117719,135530.7494117719,17.0,0.0,94322.38828689826,0.0 
 07/01  03:30:00,16.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001221847595,22.70134681988231,22.915982453702737,22.693770520666687,23.000001083919373,15.533266549012066,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,278605.0183874756,0.0,0.0,0.0,133931.62103248813,278605.0183874756,278605.0183874756,0.0,0.0,0.0,0.0,0.0,0.0,133931.62103248813,133931.62103248813,17.0,0.0,94121.01138759482,0.0 
 07/01  03:45:00,16.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001217486774,22.702202415147739,22.911534842973958,22.695054314509805,23.000001083649449,15.567067099845819,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,278948.5757853464,0.0,0.0,0.0,132278.73770431253,278948.5757853464,278948.5757853464,0.0,0.0,0.0,0.0,0.0,0.0,132278.73770431253,132278.73770431253,17.0,0.0,93823.5881052216,0.0 
 07/01  04:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001205795074,22.702908841048573,22.907405834690559,22.69684362273223,23.000001082286784,15.590810507282625,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,278929.1495685724,0.0,0.0,0.0,131094.42336734414,278929.1495685724,278929.1495685724,0.0,0.0,0.0,0.0,0.0,0.0,131094.42336734414,131094.42336734414,17.0,0.0,93554.60150761322,0.0 
 07/01  04:15:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000119459129,22.701441455234784,22.901735972146555,22.696763639008116,23.00000106959452,15.601470301367583,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,276846.08454940046,0.0,0.0,0.0,127192.27062950593,276846.08454940046,276846.08454940046,0.0,0.0,0.0,0.0,0.0,0.0,127192.27062950593,127192.27062950593,17.0,0.0,92197.57697952452,0.0 
 07/01  04:30:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001181952717,22.697931067610957,22.894416864161089,22.694230281211995,23.00000105803955,15.602925582105997,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,274622.67069077867,0.0,0.0,0.0,123590.20152869134,274622.67069077867,274622.67069077867,0.0,0.0,0.0,0.0,0.0,0.0,123590.20152869134,123590.20152869134,17.0,0.0,90877.67504083898,0.0 
 07/01  04:45:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000116922951,22.693301930100096,22.8862934780656,22.69005643478461,23.00000105911814,15.601321446313714,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,272364.49680196636,0.0,0.0,0.0,120493.27589151739,272364.49680196636,272364.49680196636,0.0,0.0,0.0,0.0,0.0,0.0,120493.27589151739,120493.27589151739,17.0,0.0,89664.37708757073,0.0 
 07/01  05:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001158885035,22.693788989282849,22.936060883985229,22.712829485031724,23.00000105322096,15.66207102870844,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,270703.86954811637,0.0,0.0,0.0,122584.2122231439,270703.86954811637,270703.86954811637,0.0,0.0,0.0,0.0,0.0,0.0,122584.2122231439,122584.2122231439,17.0,0.0,89766.66116555417,0.0 
 07/01  05:15:00,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001222420616,22.70951986203985,22.99985518474401,22.76015092706377,23.000001129493059,15.921209585759966,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,295438.8253818467,0.0,21386.403039771154,0.0,137086.7355112989,295438.8253818467,295438.8253818467,0.0,0.0,21386.403039771154,21386.403039771154,0.0,0.0,137086.7355112989,137086.7355112989,17.0,0.0,103573.4974468175,0.0 
 07/01  05:30:00,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000081732931,22.73416684691612,23.000001805554918,22.799770084565055,23.000000813859388,16.27487116267688,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,322415.08332010186,0.0,63937.20910482133,0.0,152759.94907514455,322415.08332010186,322415.08332010186,0.0,0.0,63937.20910482133,63937.20910482133,0.0,0.0,152759.94907514455,152759.94907514455,17.0,0.0,122981.51460228392,0.0 
 07/01  05:45:00,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0000006031439,22.769097732033495,23.000003146141393,22.86225339594558,23.00000062501031,16.868223271866705,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,350241.96820053909,0.0,143180.50151861437,0.0,172424.09566885344,350241.96820053909,350241.96820053909,0.0,0.0,143180.50151861437,143180.50151861437,0.0,0.0,172424.09566885344,172424.09566885344,17.0,0.0,151796.10648039604,0.0 
 07/01  06:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000493394816,22.81346887630883,23.000003636718906,22.93797424785223,23.00000053057869,17.73873690516785,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,379915.26826619866,0.0,233092.03532576283,0.0,193279.34528685109,379915.26826619866,379915.26826619866,0.0,0.0,233092.03532576283,233092.03532576283,0.0,0.0,193279.34528685109,193279.34528685109,17.0,0.0,183529.33815800967,0.0 
 07/01  06:15:00,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000424842488,22.86354417950493,23.000003884494935,22.989253209212888,23.00000046884248,18.9765002606454,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,0.0,15.6,23.0,410415.33301267158,0.0,327539.6541254875,74403.40775673792,213129.48301214417,410415.33301267158,410415.33301267158,0.0,0.0,327539.6541254875,327539.6541254875,74403.40775673792,74403.40775673792,213129.48301214417,213129.48301214417,17.0,0.0,233023.76902913946,0.0 
 07/01  06:30:00,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000375726338,22.920039209197488,23.000003932736744,22.999890557774536,23.000000425800097,20.497102276858329,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,443772.8018991927,0.0,422364.4226100748,160664.48362412153,235322.7680417069,443772.8018991927,443772.8018991927,0.0,0.0,422364.4226100748,422364.4226100748,160664.48362412153,160664.48362412153,235322.7680417069,235322.7680417069,17.0,0.0,286184.99121227508,0.0 
 07/01  06:45:00,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000339725028,22.97630928669128,23.000003762240497,22.999999410618785,23.00000039352945,22.240058150986479,23.000000000000037,23.000000000000037,23.000000000000037,23.000000000000037,23.000000000000037,0.0,15.6,23.0,478344.95513157549,18568.99399307531,509125.987141813,208492.4888222131,257320.78884415097,478344.95513157549,478344.95513157549,18568.99399307531,18568.99399307531,509125.987141813,509125.987141813,208492.4888222131,208492.4888222131,257320.78884415097,257320.78884415097,17.0,0.0,333034.2835306369,0.0 
 07/01  07:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000031131476,22.998102102488845,23.000003581018029,23.000000234446288,23.00000036586125,24.086352401901743,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,513091.763405135,90735.67429361497,595937.8470311929,234999.44447620109,277933.0161050806,513091.763405135,513091.763405135,90735.67429361497,90735.67429361497,595937.8470311929,595937.8470311929,234999.44447620109,234999.44447620109,277933.0161050806,277933.0161050806,17.0,0.0,386812.80588643599,0.0 
 07/01  07:15:00,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000058163315,23.004294358859619,23.000006043879126,23.0000004136068,23.000000499194504,26.470514293532973,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,548509.6149095612,157199.19277005192,676974.2053361752,252942.2966727022,294250.19635118698,548509.6149095612,548509.6149095612,157199.19277005192,157199.19277005192,676974.2053361752,676974.2053361752,252942.2966727022,252942.2966727022,294250.19635118698,294250.19635118698,17.0,0.0,434870.26428548819,0.0 
 07/01  07:30:00,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000037486494,23.000036121339297,23.000004393728028,23.000000305177797,23.000000443080205,27.942078749836086,22.999999999999994,22.999999999999994,22.999999999999994,22.999999999999994,22.999999999999994,0.0,15.6,23.0,586012.3146300851,215504.0140809105,763773.6041372137,278660.9762010232,310808.5938236683,586012.3146300851,586012.3146300851,215504.0140809105,215504.0140809105,763773.6041372137,763773.6041372137,278660.9762010232,278660.9762010232,310808.5938236683,310808.5938236683,17.0,0.0,484678.87927659609,0.0 
 07/01  07:45:00,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0000007642228,23.000000691464387,23.000007110513793,23.000000552030554,23.00000063387768,30.026581103100804,23.00000000000003,23.00000000000003,23.00000000000003,23.00000000000003,23.00000000000003,0.0,15.6,23.0,624368.9961757328,264046.5030432973,824910.1540545084,307749.493122704,330431.2486212306,624368.9961757328,624368.9961757328,264046.5030432973,264046.5030432973,824910.1540545084,824910.1540545084,307749.493122704,307749.493122704,330431.2486212306,330431.2486212306,17.0,0.0,528058.7147958211,0.0 
 07/01  08:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000975444896,23.00000053123339,23.000008711075418,23.00000070976649,23.0000007456795,31.712388039862178,23.000000000000037,23.000000000000037,23.000000000000037,23.000000000000037,23.000000000000037,0.0,15.6,23.0,663797.9942776389,309049.3034727688,878401.9375938834,339765.78891010387,352324.3030352605,663797.9942776389,663797.9942776389,309049.3034727688,309049.3034727688,878401.9375938834,878401.9375938834,339765.78891010387,339765.78891010387,352324.3030352605,352324.3030352605,17.0,0.0,570272.2791606928,0.0 
 07/01  08:15:00,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000046461562,23.00000043127948,23.000005158625127,23.000000446744907,23.000000572181805,33.00606279594575,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,727809.8631536805,373227.3081213364,934235.8812072361,402304.6477007858,390878.1811702671,727809.8631536805,727809.8631536805,373227.3081213364,373227.3081213364,934235.8812072361,934235.8812072361,402304.6477007858,402304.6477007858,390878.1811702671,390878.1811702671,17.0,0.0,632953.4387028476,0.0 
 07/01  08:30:00,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001192123585,23.00000089199067,23.000007465783648,23.00000103899311,23.000001057718174,34.84360408011325,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,790670.1576669876,442730.218589361,981299.5513425828,469961.9005781739,430366.9390388361,790670.1576669876,790670.1576669876,442730.218589361,442730.218589361,981299.5513425828,981299.5513425828,469961.9005781739,469961.9005781739,430366.9390388361,430366.9390388361,17.0,0.0,695819.7194552646,0.0 
 07/01  08:45:00,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001595130934,23.00000125557013,23.00000869450069,23.000001466062856,23.000001357884739,36.4387578416876,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,852509.1582502744,509610.474848272,1016558.1787460705,538509.7992791524,469495.30529914496,852509.1582502744,852509.1582502744,509610.474848272,509610.474848272,1016558.1787460705,1016558.1787460705,538509.7992791524,538509.7992791524,469495.30529914496,469495.30529914496,17.0,0.0,758906.0634990478,0.0 
 07/01  09:00:00,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000162725,23.00000141459025,23.00000717788662,23.00000162788409,23.00000149843882,38.02411453088621,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,913386.4711371175,577067.5672850848,1034940.8201897685,608361.9724622177,512062.08176632699,913386.4711371175,913386.4711371175,577067.5672850848,577067.5672850848,1034940.8201897685,1034940.8201897685,608361.9724622177,608361.9724622177,512062.08176632699,512062.08176632699,17.0,0.0,821066.520188562,0.0 
 07/01  09:15:00,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001786805745,23.00000163316305,23.00000660353924,23.00000187514808,23.00000173478211,39.58036071278255,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,950831.2337416238,623567.751925453,1036858.9322956387,656104.6235269692,542403.2037878777,950831.2337416238,950831.2337416238,623567.751925453,623567.751925453,1036858.9322956387,1036858.9322956387,656104.6235269692,656104.6235269692,542403.2037878777,542403.2037878777,17.0,0.0,860257.2674781671,0.0 
 07/01  09:30:00,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001988204138,23.000001907282056,23.000006366316375,23.000002169871267,23.000002043511804,41.10226823087188,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,22.999999999999998,0.0,15.6,23.0,987168.0776500625,672963.9469252211,1028793.8117076537,703370.1992027601,572918.739686038,987168.0776500625,987168.0776500625,672963.9469252211,672963.9469252211,1028793.8117076537,1028793.8117076537,703370.1992027601,703370.1992027601,572918.739686038,572918.739686038,17.0,0.0,897912.3951294359,0.0 
 07/01  09:45:00,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000529458217,23.00000061943578,23.000005927720829,23.00000059057454,23.00000071063472,42.31408719799452,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,0.0,15.6,23.0,1247871.616014919,721841.5705825449,1008083.6964995368,748809.5221645513,602695.16755958,1247871.616014919,1247871.616014919,721841.5705825449,721841.5705825449,1008083.6964995368,1008083.6964995368,748809.5221645513,748809.5221645513,602695.16755958,602695.16755958,17.0,0.0,980767.2668467206,0.0 
 07/01  10:00:00,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000634122699,23.000002907530744,23.000006908950195,23.00000317834709,23.000003196225366,43.92884760494204,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,0.0,15.6,23.0,1495185.0281028974,769611.8426082775,973567.8253712215,792130.1989782269,631198.9102756614,1495185.0281028974,1495185.0281028974,769611.8426082775,769611.8426082775,973567.8253712215,973567.8253712215,792130.1989782269,792130.1989782269,631198.9102756614,631198.9102756614,17.0,0.0,1057070.863723624,0.0 
 07/01  10:15:00,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000814071913,23.000003787170408,23.000006756036386,23.000004103140815,23.00000388579614,45.24226527700247,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,23.000000000000005,0.0,15.6,23.0,1525288.0650124369,818273.4522878763,936899.5987862242,836862.2388601259,659975.2349671873,1525288.0650124369,1525288.0650124369,818273.4522878763,818273.4522878763,936899.5987862242,936899.5987862242,836862.2388601259,836862.2388601259,659975.2349671873,659975.2349671873,17.0,0.0,1086723.3418987885,0.0 
